"*","5.34.98.0","23","200.219.145.45",NA,NA,0,"28135 18881 3549 6762 3216 197556 35168 21299","i"
"*>","5.34.98.0","23","200.219.145.23",NA,NA,0,"53242 12956 6453 3216 197556 35168 21299","i"
"*>","5.108.60.0","22","200.219.145.23",NA,NA,0,"53242 12956 3356 48237 35819","i"
"*","5.108.64.0","22","200.219.145.45",NA,NA,0,"28135 18881 3549 6762 48237 35819","i"
"*>","5.108.64.0","22","200.219.145.23",NA,NA,0,"53242 12956 5511 35819","i"
"*","5.108.68.0","22","200.219.145.45",NA,NA,0,"28135 18881 3549 6762 48237 35819","i"
"*>","5.108.68.0","22","200.219.145.23",NA,NA,0,"53242 12956 5511 35819","i"
"*","5.108.72.0","22","200.219.145.45",NA,NA,0,"28135 18881 3549 6762 48237 35819","i"
"*>","5.108.72.0","22","200.219.145.23",NA,NA,0,"53242 12956 5511 35819","i"
"*","12.45.103.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 209 17300","i"
"*>","12.45.103.0","24","200.219.145.23",NA,NA,0,"53242 12956 209 17300","i"
"*","12.45.110.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 701 17300","i"
"*>","12.45.110.0","24","200.219.145.23",NA,NA,0,"53242 12956 701 17300","i"
"*","12.45.140.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 7018 22609","i"
"*>","12.45.140.0","24","200.219.145.23",NA,NA,0,"53242 12956 7018 22609","i"
"*","12.45.141.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 4323 26144","i"
"*>","12.45.141.0","24","200.219.145.23",NA,NA,0,"53242 12956 7018 26144","?"
"*","12.45.164.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 22442 393414","i"
"*>","12.45.164.0","24","200.219.145.23",NA,NA,0,"53242 12956 7018 393414","i"
"*>","14.102.61.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 9498 18002","i"
"*","14.102.62.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 6762 9498 18002","i"
"*>","14.102.62.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 9498 18002","i"
"*","14.102.63.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 6762 9498 18002","i"
"*>","14.102.63.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 9498 18002","i"
"*","14.102.64.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 6762 9498 18002","i"
"*>","14.102.64.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 9498 18002","i"
"*>","23.36.252.0","22","200.219.145.23",NA,NA,0,"53242 12956 1273","i"
"*","23.37.0.0","20","200.219.145.45",NA,NA,0,"28135 18881 3549 7843 20940","i"
"*>","23.37.0.0","20","200.219.145.23",NA,NA,0,"53242 12956 7843 20940","i"
"*","23.37.16.0","20","200.219.145.45",NA,NA,0,"28135 18881 3549 7843 20940","i"
"*>","23.37.16.0","20","200.219.145.23",NA,NA,0,"53242 12956 7843 20940","i"
"*","23.37.32.0","20","200.219.145.45",NA,NA,0,"28135 18881 251 20940 16625","i"
"*>","23.37.32.0","20","200.219.145.23",NA,NA,0,"53242 7738 8657 20940 16625","i"
"*>","23.228.70.0","24","200.219.145.23",NA,NA,0,"53242 12956 3356 32421 46573","i"
"*","23.228.71.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 3491 46573","i"
"*>","23.228.71.0","24","200.219.145.23",NA,NA,0,"53242 12956 3491 46573","i"
"*","23.228.73.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 3491 46573","i"
"*>","23.228.73.0","24","200.219.145.23",NA,NA,0,"53242 12956 3491 46573","i"
"*","23.228.74.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 3491 46573","i"
"*>","23.228.74.0","24","200.219.145.23",NA,NA,0,"53242 12956 3491 46573","i"
"*","23.228.75.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 3491 46573","i"
"*>","23.228.75.0","24","200.219.145.23",NA,NA,0,"53242 12956 3491 46573","i"
